ticket_id,title,priority,status,assignee,created_date
TCK-1001,Email outage,High,Open,Lexy,2025-11-02
TCK-1002,Network connectivity issue,High,In Progress,bob,2025-11-01
TCK-1003,Printer configuration,Medium,Closed,charlie,2025-10-31
TCK-1004,Password reset request,Low,Closed,Chebet,2025-11-28
TCK-1005,Software license renewal,Medium,Open,Lexy,2025-10-29
TCK-1006,VPN access issue,High,In Progress,bob,2025-11-28
TCK-1007,Email forwarding setup,Low,Closed,charlie,2025-10-26
TCK-1008,Hardware replacement,Medium,Open,Chebet,2025-12-27
TCK-1009,Security patch deployment,High,In Progress,Lexy,2025-10-25
TCK-1010,Backup verification,Low,Closed,bob,2025-10-23
TCK-1011,Cloud service migration,Medium,Open,charlie,2025-12-22
TCK-1012,Database performance tuning,High,In Progress,Chebet,2025-10-21
TCK-1013,User account provisioning,Low,Closed,Lexy,2025-12-20
TCK-1014,Mobile device management,Medium,Open,bob,2025-10-19
TCK-1015,Firewall configuration,High,In Progress,charlie,2025-12-18
